"ReactionID","ReactionName","Name","Status"
"EX_epoxtac[e]","exchange reaction for 31-O-Desmethyl,19-Hydroxy,37, 39-Epoxy-tacrolimus in hepatic vein","31-O-Desmethyl,19-Hydroxy,37, 39-Epoxy-tacrolimus",0
"EX_fvs[e]","exchange reaction for fluvastatin in intestinal lumen","fluvastatin",1
"EX_fvstet[e]","exchange reaction for des-isopropyl-dihydro-fluvastatin-tetranor in hepatic vein","des-isopropyl-dihydro-fluvastatin-tetranor",0
"EX_fvstetglu[e]","exchange reaction for des-isopropyl-dihydro-fluvastatin-tetranor-glucuronide in hepatic vein","des-isopropyl-dihydro-fluvastatin-tetranor-glucuronide",0
"EX_glc3meacp[e]","exchange reaction for glucuronide-conjugate of 3-methoxy-acetaminophen in hepatic vein","glucuronide-conjugate of 3-methoxy-acetaminophen",0
"EX_glz[e]","exchange reaction for gliclazide in intestinal lumen","Gliclazide",1
"EX_gtacmp[e]","exchange reaction for glucuronide-thiomethyl-acetaminophen conjugate in hepatic vein","glucuronide-thiomethyl-acetaminophen conjugate",0
"EX_ibup_R[e]","exchange reaction for ibuprofen_R in intestinal lumen","ibuprofen-R",0
"EX_ibup_S[e]","exchange reaction for ibuprofen_S in intestinal lumen","ibuprofen-S",0
"EX_ibupgluc[e]","exchange reaction for ibuprofen acyl glucuronide in portal blood","ibuprofen acyl glucuronide",1
"EX_isolvstacid[e]","exchange reaction for 3-hydroxy-iso-delta-4,5-hydroxy acid form of lovastatin in bile","3'-hydroxy-iso-delta-4',5'-hydroxy acid form of lovastatin",0
"EX_lst4exp[e]","exchange reaction for Losartan-E3174 in portal blood","Losartan-E3174/ losartan-M6",0
"EX_lstn[e]","exchange reaction for losartan in intestinal lumen","Losartan",1
"EX_lstn1gluc[e]","exchange reaction for Losartan-N1-glucuronide in hepatic vein","Losartan-N1-glucuronide",0
"EX_lstnm1[e]","exchange reaction for Losartan-M1 in hepatic vein","Losartan-M1",0
"EX_lstnm2[e]","exchange reaction for Losartan-M2 in hepatic vein","Losartan-M2",0
"EX_lstnm4[e]","exchange reaction for Losartan-M4 (glucuronide derivative) in hepatic vein","Losartan-M4 (glucuronide derivative)",0
"EX_lstnm5[e]","exchange reaction for Losartan-M5 in hepatic vein","Losartan-M5",0
"EX_lstnm7[e]","exchange reaction for Losartan-N2-glucuronide / Losartan-M7 in portal blood","Losartan-N2-glucuronide / Losartan-M7",0
"EX_lvst[e]","exchange reaction for lovastatin in intestinal lumen","lovastatin lactone form",0
"EX_mdz[e]","exchange reaction for midazolam in intestinal lumen","Midazolam",1
"EX_mdzglc[e]","exchange reaction for midazolam-glucuronide in hepatic vein","Midazolam-glucuronide",0
"EX_meracmp[e]","exchange reaction for acetaminophen-mercapturate-conjugate in portal blood","acetaminophen-mercapturate-conjugate/N-acetyl-cysteine-acetaminophen",0
"EX_mhglz[e]","exchange reaction for Methyl-hydroxy-gliclazide in hepatic vein","Methyl-hydroxy-gliclazide",0
"EX_ndersv[e]","exchange reaction for N-desmethyl-rosuvastatin in bile","N-desmethyl-rosuvastatin",0
"EX_nfdac[e]","exchange reaction of acid metabolite of nifedipine in portal vein","acid metabolite of nifedipine",0
"EX_nfdlac[e]","exchange reaction of lactone form of nifedipine in portal vein","lactone form of nifedipine",0
"EX_nfdnpy[e]","exchange reaction of nitropyridine metabolite of nifedipine in portal vein","Nitropyridine metabolite of nifedipine",0
"EX_nfdoh[e]","exchange reaction of hydroxy metabolite of nifedipine in portal vein","hydroxy metabolite of nifedipine",0
"EX_oxyp[e]","exchange reaction for oxypurinol in portal blood","oxypurinol",0
"EX_oxyp1rb[e]","exchange reaction for oxypurinol-1-riboside in hepatic vein","oxypurinol-1-riboside",0
"EX_oxyp7rb[e]","exchange reaction for oxypurinol-7-riboside in hepatic vein","oxypurinol-7-riboside",0
"EX_profvs[e]","exchnage reaction for des-isoproylpropionic-acid-fluvastatin in hepatic vein","des-isoproylpropionic-acid-fluvastatin",0
"EX_ptvst[e]","exchange reaction for pitavastatin in intestinal lumen","pitavastatin",1
