"","B cells","Dendritic cells","Erythrocytes","Monocytes","NK cells","T cells"
"HMDB0000108",-0.999999286261629,-0.999999919111412,1.45243280272831e-06,-0.99999921265263,2.18620830020281e-06,1.54036430227952e-06
"HMDB0000112",7.72518207301676e-09,3.17176381720311e-09,-0.999999994998402,-0.999999997779046,5.97575188233652e-09,1.19635918204401e-09
"HMDB0000115",2.1308271647267e-07,-0.999999780051181,2.18592682970205e-07,2.01153201082659e-07,5.31126957562002e-09,2.73984578757398e-07
"HMDB0000118",1.64106058567954e-09,-0.999999985551836,-0.999999986773194,-0.999999995776908,-0.999999994730393,-0.999999998473828
"HMDB0000119",-0.999999999459132,8.6564589830349e-08,7.71716049695037e-11,1.01040693108333e-07,4.17047217493627e-08,2.00644626289258e-07
"HMDB0000121",3.51642818798537e-06,3.61543838678128e-06,2.38878823338301e-06,2.71199319709649e-06,2.43571484019963e-06,1.07693528283556e-06
"HMDB0000122",0.00302637256180384,-0.919592982815133,-0.966080697972192,0.0233104527773158,-0.936966484331358,-0.90239148042733
"HMDB0000123",0.368773079879094,0.253709485397462,0.449814903422331,0.351881901773151,0.266015731410418,0.234496374235598
"HMDB0000125",6.67614923403186e-07,-0.999998380429798,-0.999994311931052,2.99658433576607e-06,-0.99999846611141,7.75433309226981e-07
"HMDB0000126",-0.996707066042189,0.0285245520224313,0.00787128334949918,0.00452827350628225,-0.993188958127148,-0.952717643272458
"HMDB0000127",2.0632212551601e-05,4.22123075824443e-05,2.50904330273013e-05,3.63196977079243e-05,2.12679683317075e-05,9.55620723063042e-06
"HMDB0000128",-0.999999982467059,0.00289880462199894,0.0117519807549891,0.00257011008110593,-0.99999999628099,0.000672309571805257
"HMDB0000130",-0.999999997397208,1.08398858684931e-10,-0.999999998523081,2.21573141119045e-10,-0.999999998670431,-0.999999998803563
"HMDB0000131",-0.986544782775496,0.00029753338881216,-0.993930674518309,-1.98725342165438,-0.993992200666185,-0.975683494665638
"HMDB0000132",-0.999999997382106,2.65730775551576e-09,-0.999999999787919,-0.999999996801055,-0.999999998909567,4.86955947419299e-11
"HMDB0000133",1.32860385666244e-05,-0.999983169564994,-0.999997893301339,1.2858419744071e-05,1.33716041314657e-06,7.13774014218659e-07
"HMDB0000134",0.0119498751057854,0.000254842293847344,0.0060440059875718,-0.987290001170045,0.005986269900075,0.024306786614143
"HMDB0000138",2.03430182960982e-07,-0.999999921772814,2.20353696407438e-07,-0.999999972973655,-0.999999940664065,-0.999999701314733
"HMDB0000139",9.42223368797986e-05,0.000692196687774171,0.00067689126071476,0.00265121245809893,0.00274093398541801,0.00753356667252186
"HMDB0000142",-0.999990165770918,1.25877740992805e-06,1.95271473123132e-07,-0.99999894026344,1.11398740253254e-07,3.99528498340823e-07
"HMDB0000143",5.33590611427356e-06,4.86230719185091e-06,1.40522678944325e-06,5.05998122501841e-06,4.72049259328674e-06,1.76639763548655e-06
"HMDB0000145",8.82836994262443e-08,5.02255607630747e-07,2.29373446171609e-08,2.41475279196559e-07,4.11653685968223e-07,4.85973574249665e-07
"HMDB0000148",0.00136185750342964,-1.99871164368236,-0.999223390915956,-0.995205432961577,-1.99672011885318,-1.99233073876928
"HMDB0000149",-0.999998913682253,1.94758613277168e-05,3.02412907391283e-06,6.59458133621615e-06,3.16219575284108e-06,-0.999990156781357
