"","Basal III cells","Fibroblasts","Macrophages"
"HMDB0000646",-0.99999978700826,-0.999999253749168,-0.999999527024195
"HMDB0000660",-0.999999992872537,-0.999999993098454,2.45978362027177e-08
"HMDB0000661",-0.999999999999834,-0.999999999999915,0
"HMDB0000666",2.86250201066325e-08,-0.999999993708753,-0.999999999037449
"HMDB0000669",1.33037905466391e-08,9.69226261116832e-09,-0.999999999144517
"HMDB0000673",0.0412699721564699,0.0349897706498683,0.00804348607661821
"HMDB0000676",-0.996357300320471,-0.998105062824486,0.0657686541209093
"HMDB0000678",3.98168824568653e-09,-0.999999997946547,-0.999999995868129
"HMDB0000679",-0.999999379659903,-0.999999766386718,-0.999999809843111
"HMDB0000682",-0.999999999760157,6.79238881653085e-11,1.53955751220958e-09
"HMDB0000684",-0.999999956005591,-0.9999999755639,7.37350784035403e-08
"HMDB0000687",-0.846691058250318,-0.845697001144666,0.0161034222303611
"HMDB0000691",-0.999999999827397,-0.999999988979795,-0.999999996762104
"HMDB0000692",-0.644413914297786,-0.608435666522254,-0.665254564794294
"HMDB0000695",8.64259434131698e-06,-0.999997725506734,-0.999999982454152
"HMDB0000696",-0.99723546823476,-0.93593073672751,-0.839115499023898
"HMDB0000698",4.5513537267906e-08,1.07701456327704e-08,-0.999999998660602
"HMDB0000699",1.2647329266883e-07,4.59291246154099e-08,-0.999999993098346
"HMDB0000700",3.21324236950221e-08,2.03131502762273e-08,1.36906241199698e-08
"HMDB0000707",0.000679679074267639,0.000935787180384317,-0.993689380618363
"HMDB0000708",1.44061308981996e-07,1.85445336145653e-08,-0.999999982102513
"HMDB0000710",1.74726399519413e-06,3.94901736759932e-07,-0.999998573556478
"HMDB0000714",8.69622140069371e-06,-0.999993865592893,-0.999993839381769
"HMDB0000716",0.000185224228433098,0.000171355066615614,-0.999998217509831
"HMDB0000717",-0.999999961255764,-0.999999991147017,3.96964589427731e-09
"HMDB0000719",8.99107052313073e-06,-0.999986849808182,-0.999990979360815
"HMDB0000721",0.0323780122517783,0.0310566278304376,0.0905231594950582
"HMDB0000722",6.96735946614321e-08,2.55243636043414e-08,-0.999999992869997
"HMDB0000725",0.000530848604708537,0.0017796599198103,-0.999995312526957
"HMDB0000730",2.16090792192967e-08,2.9891996509356e-10,-0.999999996860486
"HMDB0000733",-0.99999957700308,-0.999999843237872,4.86300018538841e-08
"HMDB0000738",8.35572707012288e-10,-0.999999999133097,-0.99999999742475
